trial,n_samples,missing_edge_rate,missing_data_rate,missing_data_mechanism,seed,cause,effect,same_scc,status,adjustment_set,n_rows_used,estimated_path_coefficient,stderr,residual_variance,t_value,ground_truth_beta,scm_true_missing_edges_count,error
0,50000,0.2,0.8,instrument_error,42,marA,slp,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|hns|nac|ompR|rcsB|rpoD|soxS|torR|ydeO,50000,-0.14778484986403825,0.0025184154537082623,4.330561064455874,-58.681680040690345,-0.1882912623038437,1774,
0,50000,0.2,0.8,instrument_error,42,marA,waaY,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,-0.0853350832993643,0.0021581714310488745,3.273255037047087,-39.540456365827865,-0.14544338857223746,1774,
0,50000,0.2,0.8,instrument_error,42,marA,waaZ,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,-0.0703785668561265,0.0025901459183261377,4.714725677300509,-27.17166100881611,-0.11025613074750445,1774,
0,50000,0.2,0.8,instrument_error,42,marA,xseA,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,-0.37937526908505725,0.00522310868847213,19.17194139901522,-72.63399858447758,-0.26461881389492153,1774,
0,50000,0.2,0.8,instrument_error,42,marA,ycgZ,False,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,50000,-0.31176864140472366,0.004061931798164767,11.587039642538848,-76.7537853652749,-0.35266305604089887,1774,
0,50000,0.2,0.8,instrument_error,42,marA,yhiD,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,50000,0.1737711422437238,0.004198152836873648,12.016539783078008,41.39228584472657,0.20792092300503892,1774,
0,50000,0.2,0.8,instrument_error,42,marA,ymgA,False,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,50000,0.1948172253261281,0.004803232888915205,16.202220085151723,40.55960429812242,0.1669203788213525,1774,
0,50000,0.2,0.8,instrument_error,42,marA,ymgC,False,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,50000,-0.6259219648653581,0.0049098891989635815,16.92975299045498,-127.48189205521842,-0.6585260942226763,1774,
0,50000,0.2,0.8,instrument_error,42,marA,yncE,False,identifiable,acrR|arcA|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,-0.08796615282025755,0.001941470691163056,2.646499834540853,-45.309029500497175,-0.173634471200453,1774,
0,50000,0.2,0.8,instrument_error,42,soxS,fldA,False,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,50000,0.14655450623398208,0.0036134735916131143,7.538127693749896,40.55779086752859,0.14663326333701074,1774,
