cause,effect,edge,theoretical_perturbation_sets,theoretical_identifiable,theoretical_recovery_edge,theoretical_recoverable,application_recoverable,application_rows,recovered_application_rows,intervention_sets_tested,theoretical_only_not_application
aaer,aaea,aaer->aaea,,True,False,True,True,240,240,10,False
aaer,aaeb,aaer->aaeb,,True,False,True,True,240,240,10,False
aaer,aaex,aaer->aaex,,True,False,True,True,240,240,10,False
acca,acca,acca->acca,,False,False,False,False,216,0,9,False
acca,accd,acca->accd,"set 1: gade, gadx, rpod",False,True,True,True,240,24,10,False
accb,accb,accb->accb,,False,False,False,False,240,0,10,False
accb,accc,accb->accc,,True,False,True,True,240,240,10,False
accd,acca,accd->acca,"set 1: gade, gadx, rpod",False,True,True,False,216,0,9,True
accd,accd,accd->accd,,False,False,False,False,240,0,10,False
acnb,acnb,acnb->acnb,,False,False,False,False,240,0,10,False
acrr,acra,acrr->acra,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
acrr,acrb,acrr->acrb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
acrr,acrr,acrr->acrr,,False,False,False,False,240,0,10,False
acrr,flhc,acrr->flhc,"set 1: gade, gadx, rpod",False,True,True,True,240,24,10,False
acrr,flhd,acrr->flhd,"set 1: gade, gadx, rpod",False,True,True,True,240,24,10,False
acrr,mara,acrr->mara,"set 1: gade, gadx, rpod",False,True,True,False,216,0,9,True
acrr,marb,acrr->marb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
acrr,marr,acrr->marr,"set 1: gade, gadx, rpod",False,True,True,True,240,24,10,False
acrr,mdti,acrr->mdti,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
acrr,mdtj,acrr->mdtj,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
acrr,mdtu,acrr->mdtu,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
acrr,puua,acrr->puua,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
acrr,soxr,acrr->soxr,"set 2: fliz, fur, rpoh",False,True,True,True,240,24,10,False
acrr,soxs,acrr->soxs,"set 2: fliz, fur, rpoh",False,True,True,True,240,24,10,False
ada,ada,ada->ada,,False,False,False,False,240,0,10,False
ada,aidb,ada->aidb,,True,False,True,True,240,240,10,False
ada,alka,ada->alka,,True,False,True,True,240,240,10,False
ada,alkb,ada->alkb,,True,False,True,True,240,240,10,False
adiy,adia,adiy->adia,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
adiy,gada,adiy->gada,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
adiy,gadb,adiy->gadb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
adiy,gadc,adiy->gadc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
adiy,gadx,adiy->gadx,"set 1: gade, gadx, rpod",False,True,True,True,216,24,9,False
adiy,gltb,adiy->gltb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
adiy,gltd,adiy->gltd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
adiy,gltf,adiy->gltf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
agar,agab,agar->agab,,True,False,True,True,240,240,10,False
agar,agac,agar->agac,,True,False,True,True,240,240,10,False
agar,agad,agar->agad,,True,False,True,True,240,240,10,False
agar,agai,agar->agai,,True,False,True,True,240,240,10,False
agar,agar,agar->agar,,False,False,False,False,240,0,10,False
agar,agas,agar->agas,,True,False,True,True,240,240,10,False
agar,agav,agar->agav,,True,False,True,True,240,240,10,False
agar,agaw,agar->agaw,,True,False,True,True,240,240,10,False
agar,kbay,agar->kbay,,True,False,True,True,240,240,10,False
agar,kbaz,agar->kbaz,,True,False,True,True,240,240,10,False
aidb,aidb,aidb->aidb,,False,False,False,False,240,0,10,False
alas,alas,alas->alas,,False,False,False,False,240,0,10,False
allr,alla,allr->alla,,True,False,True,True,240,240,10,False
allr,allb,allr->allb,,True,False,True,True,240,240,10,False
allr,alls,allr->alls,,True,False,True,True,240,240,10,False
allr,allw,allr->allw,,True,False,True,True,240,240,10,False
allr,gcl,allr->gcl,,True,False,True,True,240,240,10,False
allr,glxk,allr->glxk,,True,False,True,True,240,240,10,False
allr,glxr,allr->glxr,,True,False,True,True,240,240,10,False
allr,hyi,allr->hyi,,True,False,True,True,240,240,10,False
allr,ybby,allr->ybby,,True,False,True,True,240,240,10,False
alls,allc,alls->allc,,True,False,True,True,240,240,10,False
alls,alld,alls->alld,,True,False,True,True,240,240,10,False
alls,alle,alls->alle,,True,False,True,True,240,240,10,False
alpa,inta,alpa->inta,,False,False,False,False,240,0,10,False
alpa,phob,alpa->phob,,True,False,True,True,240,240,10,False
alpa,phor,alpa->phor,,True,False,True,True,240,240,10,False
alsr,alsa,alsr->alsa,,True,False,True,True,240,240,10,False
alsr,alsb,alsr->alsb,,True,False,True,True,240,240,10,False
alsr,alsc,alsr->alsc,,True,False,True,True,240,240,10,False
alsr,alse,alsr->alse,,True,False,True,True,240,240,10,False
alsr,alsr,alsr->alsr,,False,False,False,False,240,0,10,False
alsr,rpib,alsr->rpib,,True,False,True,True,240,240,10,False
amef,maze,amef->maze,,True,False,True,True,216,216,9,False
amef,mazf,amef->mazf,,True,False,True,True,240,240,10,False
appy,appa,appy->appa,,True,False,True,True,240,240,10,False
appy,appb,appy->appb,,True,False,True,True,240,240,10,False
appy,appc,appy->appc,,True,False,True,True,240,240,10,False
appy,appx,appy->appx,,True,False,True,True,240,240,10,False
appy,hyaa,appy->hyaa,,True,False,True,True,240,240,10,False
appy,hyab,appy->hyab,,True,False,True,True,240,240,10,False
appy,hyac,appy->hyac,,True,False,True,True,240,240,10,False
appy,hyad,appy->hyad,,True,False,True,True,240,240,10,False
appy,hyae,appy->hyae,,True,False,True,True,240,240,10,False
appy,hyaf,appy->hyaf,,True,False,True,True,240,240,10,False
arac,araa,arac->araa,,True,False,True,True,240,240,10,False
arac,arab,arac->arab,,True,False,True,True,240,240,10,False
arac,arac,arac->arac,,False,False,False,False,240,0,10,False
arac,arad,arac->arad,,True,False,True,True,240,240,10,False
arac,arae,arac->arae,,True,False,True,True,240,240,10,False
arac,araf,arac->araf,,True,False,True,True,240,240,10,False
arac,arag,arac->arag,,True,False,True,True,240,240,10,False
arac,arah,arac->arah,,True,False,True,True,240,240,10,False
arac,araj,arac->araj,,True,False,True,True,240,240,10,False
arac,xyla,arac->xyla,,True,False,True,True,240,240,10,False
arac,xylb,arac->xylb,,True,False,True,True,240,240,10,False
