missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,residual_mean,residual_median,residual_std
MCAR,0.0,0.0,100,2533,1.1300155150331284,1.0154805350653318,0.7587197444259316
MCAR,0.0,0.0,500,2533,1.150361317854617,1.0090258684971438,0.8657345871347388
MCAR,0.0,0.0,1000,2533,1.148339235037987,1.0067402044707194,0.8477977237111242
MCAR,0.0,0.0,5000,2533,1.150205556030628,1.0036233636136918,0.8581792919082895
MCAR,0.0,0.0,10000,2533,1.1507705435297577,1.0030645364708457,0.8649507718073522
MCAR,0.0,0.0,50000,2533,1.1517984269533048,1.001603079666196,0.8675669943296376
MCAR,0.0,0.0,100000,2533,1.1520944411766723,1.001293001060493,0.8690538262378171
MCAR,0.0,0.2,100,2533,1.1524148902865121,1.0343615730472628,0.8037625677563666
MCAR,0.0,0.2,500,2533,1.1315893189177013,1.025078972504407,0.6795050224422621
MCAR,0.0,0.2,1000,2533,1.1324037355300276,1.0198754268703845,0.6942687038892312
MCAR,0.0,0.2,5000,2533,1.1355828973536222,1.017260587423063,0.7022339816828659
MCAR,0.0,0.2,10000,2533,1.1370135002444666,1.0151238680439294,0.7133917434453344
MCAR,0.0,0.2,50000,2533,1.13804241438184,1.013130810036661,0.7178654365339525
MCAR,0.0,0.2,100000,2533,1.1378293414775564,1.0129805790241158,0.7167846309284975
MCAR,0.0,0.4,100,2533,1.126594910619893,1.047085552430472,0.5194546519200322
MCAR,0.0,0.4,500,2533,1.1187395689986632,1.037479099501484,0.47828061740187355
MCAR,0.0,0.4,1000,2533,1.1213438103718636,1.0358533994409278,0.4778340902471367
MCAR,0.0,0.4,5000,2533,1.1250387532545794,1.0303292138902511,0.5041818332876176
MCAR,0.0,0.4,10000,2533,1.1242750062004634,1.028366938738958,0.5015099891795091
MCAR,0.0,0.4,50000,2533,1.123847746517644,1.0284443203524374,0.4952873915340777
MCAR,0.0,0.4,100000,2533,1.1237535065708637,1.0279929947063706,0.4949772181706158
MCAR,0.3,0.0,100,2535,0.9942220323294777,0.9789657665294158,0.22880398731985258
MCAR,0.3,0.0,500,2535,1.012187671756106,1.0041228624040244,0.1921826000588431
MCAR,0.3,0.0,1000,2535,1.2132490618843046,1.0210531678174546,1.0729824778292376
MCAR,0.3,0.0,5000,2533,1.142297522137366,1.008732055440649,0.7952640399553954
MCAR,0.3,0.0,10000,2533,1.158047751008407,1.0074701505510604,0.9119154529587938
MCAR,0.3,0.0,50000,2533,1.1589325144120965,1.0043778703784731,0.915196060428912
MCAR,0.3,0.0,100000,2533,1.1507548398283496,1.0042702172757936,0.859168937723005
MCAR,0.3,0.2,100,2535,1.052054351445458,1.0238265588937678,0.25448415926332424
MCAR,0.3,0.2,500,2535,1.02475173239626,1.0211015646011714,0.19597195451951324
MCAR,0.3,0.2,1000,2533,1.1583287569097902,1.028858307755693,0.8434822483038046
MCAR,0.3,0.2,5000,2533,1.14354542608971,1.022156903775369,0.7648283453142712
MCAR,0.3,0.2,10000,2533,1.1444349888445264,1.0229195973786855,0.7584359905533753
MCAR,0.3,0.2,50000,2533,1.1408242557183683,1.019202996357564,0.7245549595891163
MCAR,0.3,0.2,100000,2533,1.1401862021039222,1.017036059905499,0.7295889962958356
MCAR,0.3,0.4,100,2535,1.038307784036082,0.9948525378488772,0.24710670745634775
MCAR,0.3,0.4,500,2535,1.0592160332305816,1.032810726375901,0.2693739344363292
MCAR,0.3,0.4,1000,2533,1.1520885434813133,1.0434433372395922,0.6009933914597093
MCAR,0.3,0.4,5000,2533,1.1171301773564595,1.036064420425692,0.48335659392576663
MCAR,0.3,0.4,10000,2533,1.1308808990333168,1.0370634582085596,0.550522100987913
MCAR,0.3,0.4,50000,2533,1.1252288692282113,1.0333574119689746,0.500727098885314
MCAR,0.3,0.4,100000,2533,1.121129603589823,1.0301246004336744,0.48447603694404
MNAR_self_mask,0.0,0.0,100,2533,1.1300155150331284,1.015480535065332,0.7587197444259316
MNAR_self_mask,0.0,0.0,500,2533,1.150361317854617,1.0090258684971438,0.8657345871347388
