missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,MAE,RMSE,bias,median_abs_error,RelativeSlopeError
MCAR,0.0,0.0,100,2533,0.07338914214742107,0.09780625065641416,0.0017976024404775576,0.05757836798131041,0.5161578684173189
MCAR,0.0,0.0,500,2533,0.031907370062045026,0.04237415893870171,0.005113292013527501,0.024893836842173903,0.22349617500292984
MCAR,0.0,0.0,1000,2533,0.023563605055759718,0.03290554195753114,0.005409837881490676,0.0175110872816375,0.1653261751259958
MCAR,0.0,0.0,5000,2533,0.013079902263710624,0.020508418675407997,0.00510140434952021,0.00869515664662171,0.09200761348502083
MCAR,0.0,0.0,10000,2533,0.010545432607641349,0.018297095699018828,0.004947282300583473,0.006175671288868506,0.07432794030557309
MCAR,0.0,0.0,50000,2533,0.007272021518866644,0.016127804298531157,0.004822760762718792,0.002773600897422901,0.05113944847169791
MCAR,0.0,0.0,100000,2533,0.006513539918106053,0.01586147295497829,0.004809769440334268,0.002006369237942396,0.04590987101447669
MCAR,0.0,0.2,100,2533,0.07484345855532606,0.10073496824204646,0.015765343300894484,0.0595343545794679,0.5620416760073658
MCAR,0.0,0.2,500,2533,0.03754892040114584,0.052743837239746495,0.012973048719894794,0.02876277412031758,0.2817928261748839
MCAR,0.0,0.2,1000,2533,0.029751968706174938,0.04670047309338797,0.01339603646621711,0.021057112977011294,0.2234510154375664
MCAR,0.0,0.2,5000,2533,0.022063973312219824,0.0487334717181599,0.015292467262099443,0.011062555086180911,0.16764921239001618
MCAR,0.0,0.2,10000,2533,0.019839424790617902,0.04784952158913448,0.014925949543389277,0.008488901344358285,0.15034239208995506
MCAR,0.0,0.2,50000,2533,0.017294868685207104,0.047098493588049975,0.015268551858676304,0.004046215849519197,0.13158919327332835
MCAR,0.0,0.2,100000,2533,0.016680270278680014,0.04677129587743167,0.01524171099067368,0.0029197845084857066,0.12703279689854294
MCAR,0.0,0.4,100,2533,0.08122155005443413,0.10865603696225985,0.022210474382201435,0.0651952025810146,0.6432007816166612
MCAR,0.0,0.4,500,2533,0.046873730060453284,0.07038084566507136,0.024385230486687115,0.0337298173311619,0.3688957378915227
MCAR,0.0,0.4,1000,2533,0.03936199576365556,0.06423181449676045,0.024784688975458814,0.025397049578018804,0.3107866532169808
MCAR,0.0,0.4,5000,2533,0.029410359033559035,0.05532067023875563,0.023587345535757438,0.013796748816799903,0.23259660639163848
MCAR,0.0,0.4,10000,2533,0.02758177541282238,0.05467374786853797,0.023696232639024973,0.010765724174403801,0.21803575933530892
MCAR,0.0,0.4,50000,2533,0.025397266407712105,0.05477252092998161,0.023854722204637434,0.005762574843504106,0.20104088248451565
MCAR,0.0,0.4,100000,2533,0.02475703936766546,0.054358537877222175,0.023713152870695597,0.004333195619887001,0.195971523592839
MCAR,0.3,0.0,100,2535,0.11319423037983575,0.14153456397411904,-0.0003799678176595171,0.09574301121611435,0.7907025100640614
MCAR,0.3,0.0,500,2535,0.0885341908499505,0.11916832536939682,0.004054376850748245,0.06761360426942924,0.619779773730461
MCAR,0.3,0.0,1000,2535,0.09186870424684651,0.1381702020278548,-0.0011666525363093541,0.06187368542260768,0.6388679907417519
MCAR,0.3,0.0,5000,2533,0.04693207232998151,0.06692363103967448,0.0033104856190041727,0.0330040693864154,0.330185212953191
MCAR,0.3,0.0,10000,2533,0.032789637122023534,0.048367983163816734,0.004420350093655783,0.022873986140756808,0.23041251807492683
MCAR,0.3,0.0,50000,2533,0.016977516199034984,0.026549483214658137,0.005776527751117071,0.011332872211390947,0.11846650959487946
MCAR,0.3,0.0,100000,2533,0.012962956444764855,0.021517159983289996,0.0044121311686432674,0.007887614461479897,0.09092272700597161
MCAR,0.3,0.2,100,2535,0.13943397935232757,0.17844532526626566,-0.010699884519258246,0.11146571979445351,1.0214293339591973
MCAR,0.3,0.2,500,2535,0.08937176214035511,0.11807635048983407,0.0007998200018061313,0.0707210082738413,0.6594883673818281
MCAR,0.3,0.2,1000,2533,0.09612313384550611,0.13677422242070822,0.015869298736175097,0.06904253091242551,0.7210876254230264
MCAR,0.3,0.2,5000,2533,0.055340839675575355,0.09533430241046215,0.019615891099464825,0.03524445627478989,0.4195987285432287
MCAR,0.3,0.2,10000,2533,0.03982026818982256,0.0615405402818554,0.013955653560640895,0.02731075335859741,0.30068648201899056
MCAR,0.3,0.2,50000,2533,0.02534400835980771,0.05078707530632598,0.015244664620241408,0.013026402454564247,0.1919736244341827
MCAR,0.3,0.2,100000,2533,0.021660350387603805,0.045321703474473556,0.014471408810299607,0.010274709627107498,0.16433937951833108
MCAR,0.3,0.4,100,2535,0.13500178499472343,0.1675181607982691,0.006954547756383291,0.11984704472439792,1.0490628409460292
MCAR,0.3,0.4,500,2535,0.09211130575559962,0.12386553832364147,0.005222296125308337,0.0701045053032341,0.73375279102079
MCAR,0.3,0.4,1000,2533,0.10031849866037079,0.142282024728535,0.02913728747887252,0.0710031127663926,0.7916307382758637
MCAR,0.3,0.4,5000,2533,0.05917741802098917,0.09014305095893503,0.024124751256479723,0.03960819277256489,0.4684272828766928
MCAR,0.3,0.4,10000,2533,0.04597891735001716,0.07203825212883407,0.025047757859993674,0.028353551331860953,0.36187843213608045
