adjustment_set_size,n,MAE,RMSE,bias,residual_mean,residual_median
1,416,0.003346808977423769,0.0056207067439870305,0.0003157676105204223,1.0008465793552186,1.0001329484551689
2,668,0.004452959276642943,0.008090684455452276,0.0015286059549807312,1.0149488450792956,1.000795598493048
3,816,0.005160489900839187,0.01071351273022899,0.002650905288473773,1.0201657614008324,1.0011982112642817
4,760,0.005714418290666636,0.009935102116236333,0.0028665898706412497,1.0127681205105759,1.0004277974231648
5,664,0.008811305150883433,0.015541420115402287,0.006823221983095889,1.0230221393480128,1.002372931666167
6,548,0.007637144729595085,0.012883864964243522,0.005710955184011374,1.0142009819567734,1.0025391607442398
7,1140,0.017931332986717355,0.03362419507341599,0.01668066587144024,2.077171977782502,1.1207756496168952
8,3596,0.005612844874921989,0.014327562094887572,0.0038632929089511413,1.063742126764338,1.000588940148965
9,564,0.004336309097033287,0.008033744082006118,0.0021619497227119227,1.0284976187054895,1.0003058802478741
10,192,0.0032417915192655866,0.00388799332777738,0.0008149564032321948,0.9992012385844884,0.9991902903928918
11,204,0.0035447013637639035,0.006402415699755969,0.0009875322081985976,1.0062788899939699,1.0027720890325824
12,68,0.012394345122749216,0.018819300512781363,0.010241894201348646,1.0352343515439522,1.00083311280709
13,32,0.007015548635824079,0.013007708222851373,0.005284911015939501,1.001734736724065,1.0003779939690558
14,56,0.0022746198885693534,0.0028058177719028628,-0.00019872051136361857,1.0024921562745415,1.001911666205404
15,20,0.0023552372147507402,0.0029127631142133116,-0.0010822766434401478,1.00050371467839,1.0026380275382618
16,8,0.0015362386617261414,0.0023234085246905535,-0.0014396516046614669,0.9944102557963581,0.9954043116924829
17,12,0.004719944616114011,0.005956853718703376,0.00305249680903615,1.0016077552568396,1.0033864734859346
19,12,0.001857166401935845,0.002245842839108967,0.00017314590172369873,0.9974891629032544,0.9961293582780202
