missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,corr_resid_vs_abs_error,residual_mean,MAE,n
MCAR,0.0,0.0,100,0.3254385071316231,1.1300155150331284,0.07338914214742107,2533.0
MCAR,0.0,0.0,500,0.33289272656202784,1.150361317854617,0.03190737006204503,2533.0
MCAR,0.0,0.0,1000,0.4484148294355595,1.1483392350379868,0.023563605055759718,2533.0
MCAR,0.0,0.0,5000,0.5615924161729662,1.150205556030628,0.013079902263710624,2533.0
MCAR,0.0,0.0,10000,0.5587098551434292,1.1507705435297577,0.01054543260764135,2533.0
MCAR,0.0,0.0,50000,0.6142148152955357,1.1517984269533048,0.007272021518866644,2533.0
MCAR,0.0,0.0,100000,0.5975903885310566,1.1520944411766723,0.006513539918106053,2533.0
MCAR,0.0,0.2,100,0.3971021725577126,1.152414890286512,0.07484345855532606,2533.0
MCAR,0.0,0.2,500,0.4279837296111693,1.1315893189177013,0.03754892040114584,2533.0
MCAR,0.0,0.2,1000,0.49937085864397524,1.1324037355300276,0.029751968706174945,2533.0
MCAR,0.0,0.2,5000,0.5523201961328775,1.1355828973536222,0.022063973312219824,2533.0
MCAR,0.0,0.2,10000,0.5309253924506848,1.1370135002444666,0.0198394247906179,2533.0
MCAR,0.0,0.2,50000,0.5436288891454091,1.13804241438184,0.017294868685207104,2533.0
MCAR,0.0,0.2,100000,0.5485842977266947,1.1378293414775564,0.016680270278680014,2533.0
MCAR,0.0,0.4,100,0.4160024894921641,1.126594910619893,0.08122155005443413,2533.0
MCAR,0.0,0.4,500,0.6284169486576159,1.1187395689986632,0.04687373006045328,2533.0
MCAR,0.0,0.4,1000,0.6596270456524171,1.1213438103718636,0.03936199576365556,2533.0
MCAR,0.0,0.4,5000,0.6342417968964791,1.1250387532545796,0.029410359033559028,2533.0
MCAR,0.0,0.4,10000,0.6598860650431376,1.1242750062004636,0.02758177541282238,2533.0
MCAR,0.0,0.4,50000,0.6676366196858514,1.1238477465176442,0.025397266407712105,2533.0
MCAR,0.0,0.4,100000,0.6614752044196278,1.123753506570864,0.02475703936766546,2533.0
MCAR,0.3,0.0,100,0.7717679085237185,0.9942220323294778,0.11319423037983575,2535.0
MCAR,0.3,0.0,500,0.643654331522043,1.012187671756106,0.0885341908499505,2535.0
MCAR,0.3,0.0,1000,0.5798558869065419,1.2132490618843046,0.09186870424684651,2535.0
