missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,MAE,RMSE,bias,median_abs_error,RelativeSlopeError
biological_error,0.0,0.0,100,2533,0.08486597285188428,0.10827294550152715,0.001642758738526123,0.06935332045278092,0.6599746223911156
biological_error,0.0,0.0,500,2533,0.03766984935649416,0.048180521762628235,-0.0008467814154600342,0.03022907571673089,0.2873586750795529
biological_error,0.0,0.0,1000,2533,0.026918115634756556,0.03450895855550931,-9.363475213910858e-05,0.0218679434884147,0.20767376356753883
biological_error,0.0,0.0,5000,2533,0.013987688483712289,0.019794356061351423,0.0004930110032087592,0.010703960790038894,0.1077246662488236
biological_error,0.0,0.0,10000,2533,0.011149672336052407,0.01738797211473918,0.0005608333533768154,0.0076298011027359225,0.08645070506570599
biological_error,0.0,0.0,50000,2533,0.007238637795417778,0.014922029836949029,0.0006628182612805876,0.0034584344611934964,0.05626309482279502
biological_error,0.0,0.0,100000,2533,0.006369804771392443,0.014711654922695274,0.0005742083427028803,0.002491317016728195,0.04953791928501776
biological_error,0.0,0.2,100,2533,0.08726173014947794,0.11365524672426248,-0.0006327502852730144,0.06845999550200099,0.539136284189873
biological_error,0.0,0.2,500,2533,0.0423980664638594,0.05752571219046685,-0.001954937864709695,0.0327425736379295,0.2601966243316476
biological_error,0.0,0.2,1000,2533,0.03199262431938165,0.046256963890328136,-0.0010665669757163208,0.023665055768554988,0.1983285122179582
biological_error,0.0,0.2,5000,2533,0.019834639588460955,0.035367198127179665,-4.515845197883114e-05,0.011423703779700006,0.12305304143163213
biological_error,0.0,0.2,10000,2533,0.01725467754203886,0.03374595742153818,4.9025979300666715e-05,0.008689743013093193,0.10726335504375352
biological_error,0.0,0.2,50000,2533,0.013822274147476282,0.032100270961443626,6.447075006332095e-05,0.004251543273266295,0.08546289293749416
biological_error,0.0,0.4,100,2533,0.0859609117327741,0.11110326592221235,0.0010011329741859238,0.0695793298700193,0.5697885512432903
biological_error,0.0,0.4,500,2533,0.040345658091226706,0.054923790836217665,-0.001399663055333627,0.031068917126803097,0.2667060402615095
biological_error,0.0,0.4,1000,2533,0.030601252404361408,0.04449636340798788,-0.0003082707532925932,0.023778858489828705,0.20379381149861678
biological_error,0.0,0.4,5000,2533,0.018606615837512757,0.032365771834188546,0.00019259603244069587,0.011561225668430486,0.12191115307770417
biological_error,0.0,0.4,10000,2533,0.016116305027593144,0.03086522715207518,0.00018995269999240376,0.008997910557355798,0.1044257597920636
biological_error,0.0,0.4,50000,2533,0.013102810307402214,0.030103176266253237,0.0001252331313664331,0.004859112994578793,0.0839595776173142
biological_error,0.0,0.4,100000,2533,0.012421160347304047,0.0299831081406597,-3.376765329322262e-05,0.003624847463117198,0.0792760324121922
biological_error,0.0,0.6,100,2533,0.10109910955618362,0.1392495867980299,-0.0015990861797507267,0.07776345753247232,0.5157363769972315
biological_error,0.0,0.6,500,2533,0.06133779064573586,0.09914969608770949,-0.0027114365258425373,0.0410320783601551,0.3086289556313777
biological_error,0.0,0.6,1000,2533,0.05169210050996122,0.09116533875144606,-0.0027678877815745136,0.030328705755038987,0.25909743630523496
biological_error,0.0,0.6,5000,2533,0.04298418586898077,0.08493714540150177,-0.001886693264475047,0.018028532330592484,0.21472372679682378
biological_error,0.0,0.6,10000,2533,0.0409470921828372,0.08407463399943628,-0.0017570442450211942,0.014726316118579302,0.20395387681674285
biological_error,0.0,0.6,50000,2533,0.03868604342165186,0.08322672343215785,-0.001955060681615144,0.01080700593563011,0.19311042352025048
biological_error,0.0,0.6,100000,2533,0.03845452115385412,0.08351980562620456,-0.002006758985986489,0.009683620083780792,0.19218998408634225
biological_error,0.9,0.0,100,2533,0.18172806080650183,0.23774249417719892,0.001525288545225985,0.1564757988564875,1.1778778370736334
biological_error,0.9,0.0,500,2533,0.1527470744060907,0.179270876988516,0.002541324070598236,0.1396656419291496,0.9204391710197749
biological_error,0.9,0.0,1000,2533,0.15113265776696178,0.17512506697529934,0.0030516397921551727,0.1384134338347682,0.9055938895099642
biological_error,0.9,0.0,5000,2533,0.15053180829470378,0.1719803068383413,0.002682792313611059,0.13510345099839288,0.9013488247752438
biological_error,0.9,0.0,10000,2533,0.15072205020765983,0.17193844101884878,0.0027412442014105106,0.1335881117580303,0.9032070686628529
biological_error,0.9,0.0,50000,2533,0.15085065357387367,0.17158840275337628,0.002685015104936808,0.1333339415738839,0.9047712868237333
biological_error,0.9,0.0,100000,2533,0.15076642423061848,0.17146019661022377,0.002677628995495837,0.1327076104173996,0.9038247565667532
biological_error,0.9,0.2,100,2533,0.21084919757070028,0.2525267333409819,0.0045648372076657175,0.1854006920796063,1.080661891809517
biological_error,0.9,0.2,500,2533,0.18865056015302253,0.2175987898447028,0.008014281951158539,0.17009272750472562,0.9187543695744418
