adjustment_set_size,n,MAE,RMSE,bias,residual_mean,residual_median
1,34944,0.1311873671375728,0.1820508232764312,0.057990284040644734,0.4169487959549533,0.30681742187190986
2,56112,0.1269116121494227,0.1717403725990196,0.06399922561049655,0.41944406596314693,0.3276782628396937
3,68544,0.12723697084267915,0.18293337500764836,0.024222880586763407,0.4221427298973307,0.3269891757795047
4,63840,0.12857596773391813,0.18007061284269907,0.03364830253401337,0.43726683203621547,0.3431715192202951
5,55776,0.12808417421591997,0.17693312650238133,0.01465785880262782,0.4531101795633591,0.35664589490117793
6,46032,0.1286886370146811,0.182162173439788,-0.023063938288438456,0.4387811864847152,0.36911018631175174
7,95760,0.1303017899891085,0.17876881813901305,0.034104613959490715,0.5891385767992532,0.3629321757396853
8,302064,0.1310420436016636,0.3923001710161721,-0.022071316999634705,0.41785479745163967,0.28823543423857195
9,47376,0.1230683200701036,0.1784652503581969,-0.007280325247601266,0.43863981931861235,0.3653852273787743
10,16128,0.12101268826019931,0.18889340933259732,-0.040626824817086925,0.43925356278807093,0.39454646448814495
11,17136,0.1298777714559951,0.1775774271190306,0.007081350235848491,0.4530246075810253,0.3847890154577547
12,5712,0.13730251583913758,0.18265481181324944,0.08382619405529333,0.4528158717662261,0.3176035960155306
13,2688,0.14455909357551452,0.21933989871296103,-0.0033273992722119413,0.48551409923512523,0.43534680364701345
14,4704,0.13178928865161252,0.17774377802699934,0.08227832013587166,0.4795817277296893,0.4152171269079754
15,1680,0.16280839376814313,0.23472004747475503,-0.05404133528184676,0.4834944795367993,0.4422624467082183
16,672,0.09590347485305754,0.11997347298404772,0.08214162985221954,0.4479561714017817,0.4647256930948622
17,1008,0.13370972994414398,0.17754758695131692,0.12643646948314796,0.4876136924087347,0.46158800406504163
19,1008,0.12857720100279935,0.16581300317937486,0.12217434068028823,0.5570905305339674,0.4485597079058161
