missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,corr_resid_vs_abs_error,residual_mean,MAE,n
biological_error,0.0,0.0,100,0.0519363063563031,1.0260118086718568,0.08486597285188428,2533.0
biological_error,0.0,0.0,500,0.12573648567886833,1.0257277550251382,0.03766984935649416,2533.0
biological_error,0.0,0.0,1000,0.11006931508430025,1.0251778135705796,0.026918115634756556,2533.0
biological_error,0.0,0.0,5000,0.18657274607208868,1.0245909839650766,0.013987688483712289,2533.0
biological_error,0.0,0.0,10000,0.23530588387530896,1.0241650528378585,0.011149672336052407,2533.0
biological_error,0.0,0.0,50000,0.24895039434984031,1.0241652929962948,0.007238637795417778,2533.0
biological_error,0.0,0.0,100000,0.2627528166393161,1.024363483829455,0.006369804771392443,2533.0
biological_error,0.0,0.2,100,0.15644133595606036,1.0932387009521112,0.08726173014947794,2533.0
biological_error,0.0,0.2,500,0.307416579816695,1.0974712345522006,0.0423980664638594,2533.0
biological_error,0.0,0.2,1000,0.3543103056534186,1.0979927318210858,0.03199262431938165,2533.0
biological_error,0.0,0.2,5000,0.4350417198991741,1.096452203565622,0.019834639588460955,2533.0
biological_error,0.0,0.2,10000,0.43504482691430074,1.0960819088391782,0.01725467754203886,2533.0
biological_error,0.0,0.2,50000,0.4211284405383629,1.0962681648478891,0.013822274147476282,2533.0
biological_error,0.0,0.4,100,0.21006520077309057,1.1229038369532733,0.0859609117327741,2533.0
biological_error,0.0,0.4,500,0.38177522911178174,1.1227459005875358,0.040345658091226706,2533.0
biological_error,0.0,0.4,1000,0.5328705693681411,1.1235516552883742,0.030601252404361408,2533.0
biological_error,0.0,0.4,5000,0.5425481806697668,1.1234085388338315,0.018606615837512757,2533.0
biological_error,0.0,0.4,10000,0.5609571090636348,1.1229027702393208,0.01611630502759314,2533.0
biological_error,0.0,0.4,50000,0.58621890235859,1.1229110881361657,0.013102810307402214,2533.0
biological_error,0.0,0.4,100000,0.5900575862057347,1.1231771544264226,0.012421160347304047,2533.0
biological_error,0.0,0.6,100,0.3682809923903194,1.3664192735105476,0.10109910955618362,2533.0
biological_error,0.0,0.6,500,0.49363877969201453,1.3637226065863128,0.06133779064573585,2533.0
biological_error,0.0,0.6,1000,0.4961254389855302,1.3657895678132894,0.05169210050996122,2533.0
biological_error,0.0,0.6,5000,0.5008021176003269,1.3630028686376996,0.04298418586898077,2533.0
biological_error,0.0,0.6,10000,0.5017073226881523,1.3611104262235438,0.0409470921828372,2533.0
biological_error,0.0,0.6,50000,0.4987835686409149,1.3606693976734272,0.03868604342165186,2533.0
biological_error,0.0,0.6,100000,0.5039030995489282,1.3610161045885747,0.03845452115385412,2533.0
biological_error,0.9,0.0,100,0.08437577093473499,0.11449945288233965,0.18172806080650183,2533.0
biological_error,0.9,0.0,500,0.12596981030021795,0.1153243558881024,0.1527470744060907,2533.0
biological_error,0.9,0.0,1000,0.1315360567147342,0.11619149447549233,0.15113265776696178,2533.0
biological_error,0.9,0.0,5000,0.18767682581012274,0.11574872439908082,0.15053180829470378,2533.0
biological_error,0.9,0.0,10000,0.19892113773892306,0.11569149810421356,0.15072205020765983,2533.0
biological_error,0.9,0.0,50000,0.19795772588679386,0.11576047498239601,0.15085065357387367,2533.0
