trial,n_samples,missing_edge_rate,missing_data_rate,missing_data_mechanism,seed,scm_seed,data_seed,cause,effect,same_scc,status,adjustment_set,n_rows_used,estimated_path_coefficient,stderr,residual_variance,t_value,ground_truth_beta,scm_true_missing_edges_count,error
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,pqiA,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,100,0.06916927589596736,0.05936969751864685,2.064662458639339,1.1650602712645228,0.1503428623518562,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,pqiB,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,100,-0.5278222335416662,0.08156675785768863,3.897138038554516,-6.471045894242476,-0.35585392279489725,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,pqiC,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,100,-0.6923931950492289,0.21153805627945618,26.211773571452202,-3.273137738084018,-0.23918035855677253,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,purA,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|nac|ompR|purR|rpoD|soxS,100,0.2578155651958446,0.0914020188996085,4.707524897627282,2.820676920484837,0.1407996322466038,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,putA,False,identifiable,acrR|arcA|basR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS|yeiE,100,-1.1784556655974456,0.13684472102339876,10.830759263588195,-8.611626789724276,-0.5453891589670055,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,slp,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|hns|nac|ompR|rcsB|rpoD|soxS|torR|ydeO,100,0.6437171381667572,0.1206914923516334,8.102023765378517,5.333575098162629,0.432580194455887,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,waaY,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100,0.14029475085785995,0.03946457071385754,0.9213623655094959,3.5549544393902917,0.22848054093409795,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,waaZ,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100,-0.09189478630445332,0.11765596885535097,8.189240615653402,-0.7810465308175817,-0.11550096967354243,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,xseA,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100,-0.31811675319109867,0.04826015303865615,1.3778219283176443,-6.591706266167218,-0.4934033656889363,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,ycgZ,False,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,100,-0.6176174634354356,0.07852489929123313,3.6018196374962455,-7.865243623488341,-0.324357702956682,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,yhiD,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,100,0.26658024603835334,0.1050285842198225,5.859918645955389,2.538168518775868,0.25620030668466715,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,ymgA,False,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,100,0.198230264835003,0.07176038161173065,3.0079919143573846,2.762391453093922,0.1618143862831638,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,ymgC,False,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,100,-0.12649259442803087,0.0764628052281048,3.4151331418980724,-1.654302298361623,-0.16917770295360834,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,marA,yncE,False,identifiable,acrR|arcA|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100,-0.29533802264083164,0.12324668887184118,8.984163199764252,-2.3963160823569116,-0.17295271119462166,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,soxS,fldA,False,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,100,-0.07653607684100859,0.10358523534985635,3.786910078579126,-0.7388705212910899,-0.2639801277444556,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,soxS,nepI,False,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,100,-0.024411476843223423,0.21480838494735155,16.285149066159256,-0.11364303515994756,-0.1889534439218647,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,ada,aidB,False,identifiable,lrp|rpoD|rpoS,100,-0.28581165423665733,0.10075023315931957,7.326961438619467,-2.8368336754585393,-0.24559441171951918,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,ada,alkA,False,identifiable,rpoD|rpoS,100,-0.7190727356551847,0.1493776750083675,16.757367558746804,-4.813789849218803,-0.4981933435731439,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,ada,alkB,False,identifiable,rpoD|rpoS,100,-0.23102804746068425,0.09171036738997891,6.316423940867609,-2.519105026351998,-0.13839526862140145,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,agaB,False,identifiable,rpoD,100,0.171402841847606,0.06416449635216265,8.751012359268506,2.6713034714224624,0.12910872971776394,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,agaC,False,identifiable,rpoD,100,0.011894507056447698,0.03421359306308949,2.4880900183874375,0.3476544259620542,-0.28514928658042404,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,agaD,False,identifiable,rpoD,100,-0.16468786300117788,0.13427150572405705,38.320964921738636,-1.226528756887778,-0.10956775286300056,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,agaI,False,identifiable,rpoD,100,0.12278887154129031,0.03655518452665494,2.840316121516774,3.359000183729243,0.4991997035984372,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,agaS,False,identifiable,rpoD,100,-0.03473386702727321,0.0401351124560913,3.4238733069522747,-0.8654234385233835,-0.14543219230442864,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,agaV,False,identifiable,crp|rpoD,100,0.1302429795011258,0.051765198266459665,5.665355484144615,2.5160336261189284,0.1049459176384806,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,agaW,False,identifiable,crp|rpoD,100,-0.022188024332269504,0.09015053600331698,17.182566314372377,-0.24612193466551463,0.387705194606886,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,kbaY,False,identifiable,nac|rpoD,100,-0.03178767391366831,0.040073185594530596,3.3465800056860484,-0.793240503395539,-0.4214882655270219,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,agaR,kbaZ,False,identifiable,crp|rpoD,100,-0.1342034585678379,0.031703649458985295,2.125053739179977,-4.233060258297885,-0.9217781440158033,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,allR,allA,False,identifiable,nac,100,-0.07177436822841043,0.2670274414500631,12.341018954939896,-0.26879023308858313,-0.29668399218263447,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,allR,allB,False,identifiable,nac|rpoD,100,0.11399498196834507,0.17897934537741972,5.542391098440263,0.636916967865538,0.1681334244080887,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,allR,allS,False,identifiable,nac,100,0.43197167283931986,0.2905274331142005,14.608765717394789,1.4868533005952678,0.12990696966318935,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,allR,allW,False,identifiable,nac|rpoD,100,-0.1353768516562075,0.2765103001500026,13.228602451439981,-0.4895906285688729,-0.17688535601051558,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,allR,gcl,False,identifiable,nac|rpoD,100,0.8545821829957383,0.32178745361058236,17.915525524941604,2.6557349374781043,0.3409157546633284,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,allR,glxK,False,identifiable,nac|rpoD,100,0.30411954579648504,0.13864819472699594,3.3259810946131796,2.1934619949095557,0.19897578455956935,0,
0,100,0.0,0.5,instrument_error,2940493950,2995541604,2940493950,allR,glxR,False,identifiable,nac|rpoD,100,0.46291146945633943,0.20303025430095245,7.1320249706339185,2.280012262458994,0.3119697812471997,0,
