adjustment_set_size,n,MAE,RMSE,bias,residual_mean,residual_median
1,34920,0.15065737086739925,0.20225601732182474,0.0010462339926296824,3.7309890591123724,2.029096849392448
2,55916,0.1482463575658976,0.19687008546933557,0.005306980587608284,3.6190435169850796,2.023417386533434
3,68182,0.14426803337479738,0.20746980408369267,0.0026589181201413085,3.6562094408269226,2.0714732099016047
4,63503,0.14747954781887443,0.1956171697364068,-0.0031044436078419284,3.5824190789233707,2.0630662931431725
5,55500,0.14369006598288106,0.19087695122868437,-0.0025247179866403663,3.607846551536172,2.07560249762721
6,45651,0.14398414886818478,0.1954446774178013,-0.0028253987353386877,3.6926534562997184,2.159238239707713
7,94033,0.1450480699089639,0.19119631338832105,-0.007141551727494854,3.8980683036503927,2.294716773242916
8,302593,0.14493229954131023,0.20409126894477003,0.001987582026317004,3.6663729169984296,2.0754240017727983
9,47463,0.1428128668180414,0.1930197725670463,0.0023072475079316257,3.4933674343685697,1.9994646794287456
10,16374,0.14380757590371654,0.1888747300402052,0.010900469074159038,3.236736946605868,1.9105910092359706
11,17270,0.14754499768804075,0.19484265167958134,-0.007041815414162746,3.292165290024304,2.0007344726077108
12,5760,0.14665788206413083,0.2020545753141145,-0.014521747679964817,3.3085326878182584,1.9077064031499043
13,2704,0.1559204003887852,0.2039861172997302,-0.010189099735901468,3.884939150952704,2.2356541394962512
14,4784,0.14839962391576647,0.1994915881119904,-0.011148960226433326,3.2696502436783823,2.0282110936802322
15,1706,0.12722882585462392,0.1540673518078994,0.012077665589430187,3.334798955484372,2.0741216012379438
16,756,0.19157000339858002,0.24005800688201495,-0.12238898578943504,3.493645467622446,2.2002025812706654
17,974,0.11291972127211683,0.14042249022671946,-0.012183829293308582,3.990965477648437,2.211539538263177
19,1134,0.09854894764795653,0.1255954518006228,-0.011100575851297258,3.4229992103537827,2.2095204568273155
