adjustment_set_size,n,MAE,RMSE,bias,residual_mean,residual_median
1,416,0.08614275309267184,0.11474190779203493,0.008832978519805974,1.2243003735332236,1.2803605793779584
2,668,0.0890225219017122,0.11330689960888808,-0.0018131286439789865,1.2485666720648385,1.2970717192692436
3,816,0.07999314517805432,0.10019571733540449,-0.005755222329380402,1.2995370435713633,1.3116692066016733
4,760,0.08087380555180992,0.09874257936451503,-0.018081577696037836,1.3077390896780094,1.339896531156423
5,664,0.07863625541610034,0.09758682254847567,-0.005616197202189499,1.347717472610178,1.351934425052701
6,548,0.07994143686313888,0.09981781929444355,0.008076269725639167,1.3366018172170562,1.3708378065422129
7,1140,0.08089614711472183,0.10199002531249668,-0.005199934203009344,1.6117111360053888,1.4113835757379987
8,3596,0.09435839578866145,0.116767633424065,0.005166811839474894,1.2649168716221062,1.2816081922406082
9,564,0.07465962100441625,0.09677379958219882,-0.0029659398855137495,1.3218952200129468,1.349469609156389
10,192,0.09061151472343655,0.12344917134645776,0.012491844858934398,1.37525619629704,1.4226699093560309
11,204,0.07510603403880294,0.09689646720305752,-0.0196307849300673,1.3876811099885822,1.3864985228751354
12,68,0.06153685993784115,0.08005798404310384,-0.02481019817067307,1.6009416938885224,1.4471025495192111
13,32,0.07291901832996311,0.08476616948917004,0.03351207081495755,1.3860160543403244,1.4100842293201743
14,56,0.10386769837111144,0.11715071262821715,-0.044236699579621674,1.4614436582474,1.448151954690838
15,20,0.0629472003306724,0.07689463271702027,-0.024788101850081318,1.4874487555102858,1.4410006857718236
16,8,0.04999296501146816,0.059228838760674106,0.04999296501146816,1.8029126875623573,1.787058304628617
17,12,0.0582027440883611,0.06479607208020993,0.011683184599818772,1.381845370138221,1.4239737739011717
19,12,0.049873970780675035,0.08346165095075807,0.036190195861271125,1.301582631699971,1.5293286638120918
