cause,effect,nonident_cause,rescue_nodes,n_rescue_nodes
rpoD,argG,cross_scc_blocked,rpoD,1
rpoD,argH,cross_scc_blocked,rpoD,1
rpoD,argI,cross_scc_blocked,rpoD,1
rpoD,argO,cross_scc_blocked,rpoD,1
rpoD,argR,same_scc_long,rpoD,1
rpoD,argS,cross_scc_blocked,lrp|rpoD,2
rpoD,argU,cross_scc_blocked,rpoD,1
rpoD,argW,cross_scc_blocked,fis|rpoD,2
gadX,ybaT,cross_scc_blocked,gadX|rpoS,2
rpoD,argX,cross_scc_blocked,rpoD,1
rpoD,ariR,cross_scc_blocked,rpoD,1
rpoD,aroA,cross_scc_blocked,rpoD,1
rpoD,aroD,cross_scc_blocked,nac|rpoD,2
rpoD,aroF,cross_scc_blocked,rpoD,1
rpoD,aroG,cross_scc_blocked,rpoD,1
rpoD,aroK,cross_scc_blocked,rpoD,1
rpoD,aroL,cross_scc_blocked,rpoD,1
rpoD,aroM,cross_scc_blocked,rpoD,1
rpoD,aroP,cross_scc_blocked,rpoD,1
gadX,ydeM,cross_scc_blocked,gadX,1
rpoD,artI,cross_scc_blocked,rpoD,1
rpoD,artJ,cross_scc_blocked,rpoD,1
rpoD,artM,cross_scc_blocked,rpoD,1
rpoD,artP,cross_scc_blocked,rpoD,1
rpoD,artQ,cross_scc_blocked,rpoD,1
rpoD,ascB,cross_scc_blocked,rpoD,1
rpoD,ascF,cross_scc_blocked,rpoD,1
rpoD,asnA,cross_scc_blocked,rpoD,1
rpoD,asnC,cross_scc_blocked,nac|rpoD,2
rpoD,asnT,cross_scc_blocked,nac|rpoD,2
gadX,ydeN,cross_scc_blocked,gadX,1
rpoD,asnV,cross_scc_blocked,nac|rpoD,2
rpoD,aspA,cross_scc_blocked,rpoD,1
arcA,fadB,cross_scc_blocked,arcA,1
arcA,fadD,cross_scc_blocked,arcA,1
arcA,fadE,cross_scc_blocked,arcA,1
arcA,fadH,cross_scc_blocked,arcA,1
arcA,fadI,cross_scc_blocked,arcA,1
arcA,fadJ,cross_scc_blocked,arcA,1
arcA,fadL,cross_scc_blocked,arcA,1
arcA,feoA,cross_scc_blocked,arcA,1
flhC,flgA,cross_scc_blocked,flhC|fliZ,2
gadX,yhiD,cross_scc_blocked,gadX,1
arcA,fnr,two_cycle,arcA,1
arcA,focA,cross_scc_blocked,arcA,1
arcA,folE,cross_scc_blocked,arcA,1
arcA,fumA,cross_scc_blocked,arcA,1
arcA,fumB,cross_scc_blocked,arcA,1
arcA,fumC,cross_scc_blocked,arcA,1
arcA,gadA,cross_scc_blocked,arcA,1
arcA,gadE,same_scc_long,arcA,1
