cause,effect,nonident_cause,same_scc_after_removal,needs_intervention,min_break_set,min_break_size,rescuable_within_k,cut_verified
cecR,cecR,self_loop,True,True,[],0,False,False
chbR,chbR,self_loop,True,True,[],0,False,False
citR,citR,self_loop,True,True,[],0,False,False
cpxR,cpxR,self_loop,True,True,"[""rpoD"", ""rpoS""]",2,True,False
marA,mdaB,cross_scc_blocked,False,False,[],0,True,True
marA,nfo,cross_scc_blocked,False,False,[],0,True,True
marA,nfsA,cross_scc_blocked,False,False,[],0,True,True
marA,nfsB,cross_scc_blocked,False,False,[],0,True,True
nac,nac,self_loop,True,True,"[""fnr"", ""fur"", ""glnG"", ""lrp"", ""rpoN""]",5,False,False
cspA,hns,two_cycle,False,False,[],0,True,True
matA,fliZ,same_scc_long,True,True,"[""gadE""]",1,True,True
matA,matA,self_loop,True,True,"[""gadE""]",1,True,False
marA,rimK,cross_scc_blocked,False,False,[],0,True,True
marA,rob,two_cycle,False,False,[],0,True,True
marA,sodA,cross_scc_blocked,False,False,[],0,True,True
marA,tolC,cross_scc_blocked,False,False,[],0,True,True
rpoE,rpoE,self_loop,True,True,"[""crp"", ""gadX"", ""lrp"", ""rpoD"", ""rpoN""]",5,False,False
marA,ybjC,cross_scc_blocked,False,False,[],0,True,True
marA,ybjN,cross_scc_blocked,False,False,[],0,True,True
accB,accB,self_loop,True,True,[],0,False,False
acnB,acnB,self_loop,True,True,[],0,False,False
nfeR,nfeR,self_loop,True,True,[],0,False,False
marA,ygiB,cross_scc_blocked,False,False,[],0,True,True
marA,ygiC,cross_scc_blocked,False,False,[],0,True,True
marA,yhbW,cross_scc_blocked,False,False,[],0,True,True
marA,zwf,cross_scc_blocked,False,False,[],0,True,True
marR,marA,two_cycle,False,False,[],0,True,True
marR,marB,cross_scc_blocked,False,False,[],0,True,True
marR,marR,self_loop,True,True,"[""marA""]",1,True,False
soxR,soxR,self_loop,True,True,"[""fur""]",1,True,False
soxR,soxS,scc_edge_dissolved,False,False,[],0,True,True
soxS,fur,two_cycle,False,False,[],0,True,True
nikR,nikR,self_loop,True,True,[],0,False,False
crp,crp,self_loop,True,True,"[""cra"", ""fis"", ""rpoD""]",3,True,False
soxS,soxS,self_loop,True,True,"[""fur""]",1,True,False
ada,ada,self_loop,True,True,[],0,False,False
aidB,aidB,self_loop,True,True,[],0,False,False
adiY,gadX,scc_edge_dissolved,False,False,[],0,True,True
pdeL,pdeL,self_loop,True,True,[],0,False,False
csqR,csqR,self_loop,True,True,[],0,False,False
cytR,cytR,self_loop,True,True,"[""rpoH""]",1,True,False
cytR,rpoH,scc_edge_dissolved,False,False,[],0,True,True
dgoR,dgoR,self_loop,True,True,[],0,False,False
yeiL,yeiL,self_loop,True,True,[],0,False,False
dksA,dksA,self_loop,True,True,"[""crp"", ""rpoD""]",2,True,False
gadX,gadX,self_loop,True,True,"[""gadE"", ""gadW"", ""hns"", ""rpoS""]",4,False,False
exuR,exuR,self_loop,True,True,"[""uxuR""]",1,True,False
exuR,lgoD,cross_scc_blocked,False,False,[],0,True,True
exuR,lgoR,cross_scc_blocked,False,False,[],0,True,True
exuR,uxuA,cross_scc_blocked,False,False,[],0,True,True
exuR,uxuB,cross_scc_blocked,False,False,[],0,True,True
exuR,uxuR,two_cycle,False,False,[],0,True,True
fis,fis,self_loop,True,True,"[""crp"", ""rpoD"", ""rpoS""]",3,True,False
agaR,agaR,self_loop,True,True,[],0,False,False
iscR,iscR,self_loop,True,True,[],0,False,False
alaS,alaS,self_loop,True,True,[],0,False,False
frlR,frlR,self_loop,True,True,[],0,False,False
fucR,fucR,self_loop,True,True,[],0,False,False
fur,fur,self_loop,True,True,"[""crp"", ""oxyR"", ""rpoD"", ""soxS""]",4,False,False
galS,galE,cross_scc_blocked,False,False,[],0,True,True
galS,galK,cross_scc_blocked,False,False,[],0,True,True
galS,galM,cross_scc_blocked,False,False,[],0,True,True
galS,galP,cross_scc_blocked,False,False,[],0,True,True
galS,galR,two_cycle,False,False,[],0,True,True
galS,galS,self_loop,True,True,"[""galR""]",1,True,False
frmR,frmR,self_loop,True,True,[],0,False,False
galS,galT,cross_scc_blocked,False,False,[],0,True,True
galS,mglA,cross_scc_blocked,False,False,[],0,True,True
galS,mglB,cross_scc_blocked,False,False,[],0,True,True
galS,mglC,cross_scc_blocked,False,False,[],0,True,True
glnG,glnG,self_loop,True,True,"[""nac"", ""rpoE""]",2,True,False
gutM,gutM,self_loop,True,True,"[""srlR""]",1,True,False
gutM,gutQ,cross_scc_blocked,False,False,[],0,True,True
gutM,srlA,cross_scc_blocked,False,False,[],0,True,True
gutM,srlB,cross_scc_blocked,False,False,[],0,True,True
gutM,srlD,cross_scc_blocked,False,False,[],0,True,True
betI,betI,self_loop,True,True,[],0,False,False
gutM,srlE,cross_scc_blocked,False,False,[],0,True,True
gutM,srlR,two_cycle,False,False,[],0,True,True
hicB,hicB,self_loop,True,True,[],0,False,False
hyfR,hyfR,self_loop,True,True,[],0,False,False
idnR,idnR,self_loop,True,True,[],0,False,False
lsrR,lsrR,self_loop,True,True,[],0,False,False
malI,malI,self_loop,True,True,[],0,False,False
melR,melR,self_loop,True,True,[],0,False,False
mlc,mlc,self_loop,True,True,[],0,False,False
nagC,nagC,self_loop,True,True,[],0,False,False
purR,purR,self_loop,True,True,[],0,False,False
oxyR,fur,scc_edge_dissolved,False,False,[],0,True,True
phoB,phoB,self_loop,True,True,"[""nac"", ""rpoD""]",2,True,False
oxyR,oxyR,self_loop,True,True,"[""fur""]",1,True,False
plaR,plaR,self_loop,True,True,[],0,False,False
rbsR,rbsR,self_loop,True,True,[],0,False,False
rhaR,rhaR,self_loop,True,True,"[""rhaS""]",1,True,False
rhaR,rhaS,two_cycle,False,False,[],0,True,True
rhaS,rhaR,two_cycle,False,False,[],0,True,True
rhaS,rhaS,self_loop,True,True,"[""rhaR""]",1,True,False
rplM,rplM,self_loop,True,True,[],0,False,False
rcsA,rcsA,self_loop,True,True,"[""gadE""]",1,True,False
rpsF,priB,cross_scc_blocked,False,False,[],0,True,True
rpsF,rplI,cross_scc_blocked,False,False,[],0,True,True
rpsF,rpsF,self_loop,True,True,"[""rpsR""]",1,True,False
