cause,effect,adjustment_set,same_scc
lrp,yiiM,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yjfP,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yjiC,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yjiL,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yoaH,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yodC,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yqeG,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ytjB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yzgL,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,zipA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,zitB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
arsR,arsB,rpoD,False
arsR,arsC,rpoD,False
ascG,ascB,crp|hns|rpoD,False
ascG,ascF,cpxR|crp|hns|rpoD|spf,False
ascG,htpG,crp|hns|nac|rpoH|rpoN,False
ascG,prpR,crp|hns|phoB|rpoD,False
ascG,ybiT,crp|hns|lrp|rob,False
prpR,prpB,ascG|cra|crp|phoB|rpoD|rpoN,False
prpR,prpC,ascG|cra|crp|phoB|rpoD|rpoN,False
prpR,prpD,ascG|cra|crp|phoB|rpoD|rpoN,False
prpR,prpE,ascG|cra|crp|phoB|rpoD|rpoN,False
asnC,asnA,lrp|nac|rpoD,False
asnC,mioC,mraZ|nac|rpoD,False
asnC,mnmG,nac|rpoD|rpoS,False
atoC,atoA,ihfA|ihfB|rpoN,False
atoC,atoB,ihfA|ihfB|rpoN,False
atoC,atoD,ihfA|ihfB|rpoN|spf,False
atoC,atoE,ihfA|ihfB|rpoN,False
baeR,acrD,cpxR|evgA|rpoD|rpoN|rpoS,False
baeR,baeS,cpxR|glaR|rpoS,False
baeR,mdtA,cpxR|rpoS,False
baeR,mdtB,cpxR|rpoS,False
baeR,mdtC,cpxR|rpoS,False
baeR,mdtD,cpxR|rob|rpoS,False
baeR,spy,cpxR|rpoD|rpoS,False
baeR,ycaC,cpxR|fnr|nac|rpoS,False
basR,arnA,,False
basR,arnB,,False
basR,arnC,,False
basR,arnD,,False
basR,arnE,,False
basR,arnF,,False
basR,arnT,,False
basR,csgD,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,csgE,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,csgF,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,csgG,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,cspI,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,dgkA,,False
basR,emrD,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,eptA,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,fimB,alpA|btsR|glaR|glrR|nanR|nsrR|ptrR|rcdA,False
basR,glpA,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,glpB,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,glpC,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,hha,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,putA,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,qseB,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,qseC,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,tomB,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,waaH,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
basR,yrbL,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
csgD,nlpA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
csgD,yhbS,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
bglG,bglB,bglJ|crp|fis|hns|leuO|nac|rcsB|stpA,False
bglG,bglF,bglJ|crp|fis|hns|leuO|rcsB|stpA,False
leuO,yghR,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
birA,bioA,rpoD,False
birA,bioB,rpoD,False
birA,bioC,rpoD,False
birA,bioD,rpoD,False
birA,bioF,rpoD,False
bluR,ariR,cysB|marA|rpoD|rpoS|srsR,False
bluR,ycgZ,marA|rpoD|rpoS|srsR,False
bluR,ymgA,marA|rpoD|rpoS|srsR,False
bluR,ymgC,marA|rpoD|rpoS|srsR,False
btsR,aceE,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,aceF,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,btsT,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,csgA,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,csgB,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,csgC,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,csgD,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,csgE,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,csgF,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,csgG,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,cspC,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,lpd,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,mdh,alpA|basR|glaR|glrR|modE|nsrR|ptrR|rcdA,False
btsR,pdhR,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
btsR,yobF,alpA|basR|glaR|glrR|nsrR|ptrR|rcdA,False
pdhR,aceE,arcA|btsR|cra|crp|fnr|glaR|nsrR|ompR|rpoD|rpoS,False
pdhR,aceF,arcA|btsR|cra|crp|fnr|glaR|nsrR|ompR|rpoD|rpoS,False
pdhR,acpP,arcA|btsR|cra|crp|fnr|glaR|ompR|rpoD|rpoS,False
pdhR,cyoA,arcA|btsR|cra|crp|cusR|fis|fnr|fur|gadE|glaR|hprR|ompR|rpoD|rpoS,False
pdhR,cyoB,arcA|btsR|cra|crp|cusR|fis|fnr|fur|gadE|glaR|hprR|ompR|rpoD|rpoS,False
pdhR,cyoC,arcA|btsR|cra|crp|cusR|fis|fnr|fur|gadE|glaR|hprR|ompR|rpoD|rpoS,False
pdhR,cyoD,arcA|btsR|cra|crp|cusR|fis|fnr|fur|gadE|glaR|hprR|ompR|rpoD|rpoS,False
pdhR,cyoE,arcA|btsR|cra|crp|cusR|fis|fnr|fur|gadE|glaR|hprR|ompR|rpoD|rpoS,False
pdhR,ddlB,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,fadE,arcA|btsR|cpxR|cra|crp|fadR|fnr|glaR|lldR|ompR|rpoD|rpoS,False
