cause,effect,nonident_cause,same_scc_after_removal,needs_intervention,min_break_set,min_break_size,rescuable_within_k,cut_verified
accA,accA,self_loop,True,True,"[""accD""]",1,True,False
accA,accD,two_cycle,False,False,[],0,True,True
accD,accA,two_cycle,False,False,[],0,True,True
accD,accD,self_loop,True,True,"[""accA""]",1,True,False
flhC,aceB,cross_scc_blocked,False,False,[],0,True,True
flhC,adhE,cross_scc_blocked,False,False,[],0,True,True
flhD,ygbK,cross_scc_blocked,False,False,[],0,True,True
flhD,ygdB,cross_scc_blocked,False,False,[],0,True,True
fur,aspC,cross_scc_blocked,False,False,[],0,True,True
fur,bfd,cross_scc_blocked,False,False,[],0,True,True
fur,cadC,cross_scc_blocked,False,False,[],0,True,True
fur,cirA,cross_scc_blocked,False,False,[],0,True,True
fur,cusC,cross_scc_blocked,False,False,[],0,True,True
fur,cyoA,cross_scc_blocked,False,False,[],0,True,True
fur,cyoB,cross_scc_blocked,False,False,[],0,True,True
fur,cyoC,cross_scc_blocked,False,False,[],0,True,True
fur,cyoD,cross_scc_blocked,False,False,[],0,True,True
fur,cyoE,cross_scc_blocked,False,False,[],0,True,True
fur,dmsA,cross_scc_blocked,False,False,[],0,True,True
fur,dmsB,cross_scc_blocked,False,False,[],0,True,True
fur,dmsC,cross_scc_blocked,False,False,[],0,True,True
fur,dppB,cross_scc_blocked,False,False,[],0,True,True
fur,dppC,cross_scc_blocked,False,False,[],0,True,True
fur,dppD,cross_scc_blocked,False,False,[],0,True,True
fur,dppF,cross_scc_blocked,False,False,[],0,True,True
fur,eamA,cross_scc_blocked,False,False,[],0,True,True
fur,entA,cross_scc_blocked,False,False,[],0,True,True
fur,entB,cross_scc_blocked,False,False,[],0,True,True
flhD,ymdA,cross_scc_blocked,False,False,[],0,True,True
flhD,ymdB,cross_scc_blocked,False,False,[],0,True,True
fur,entC,cross_scc_blocked,False,False,[],0,True,True
fur,entD,cross_scc_blocked,False,False,[],0,True,True
fur,entE,cross_scc_blocked,False,False,[],0,True,True
fur,entF,cross_scc_blocked,False,False,[],0,True,True
fur,entH,cross_scc_blocked,False,False,[],0,True,True
fur,entS,cross_scc_blocked,False,False,[],0,True,True
fur,erpA,cross_scc_blocked,False,False,[],0,True,True
fur,exbB,cross_scc_blocked,False,False,[],0,True,True
fur,exbD,cross_scc_blocked,False,False,[],0,True,True
fur,fecA,cross_scc_blocked,False,False,[],0,True,True
fur,fecB,cross_scc_blocked,False,False,[],0,True,True
fur,fecC,cross_scc_blocked,False,False,[],0,True,True
fur,fecD,cross_scc_blocked,False,False,[],0,True,True
fur,fecE,cross_scc_blocked,False,False,[],0,True,True
fur,fecI,cross_scc_blocked,False,False,[],0,True,True
fur,fecR,cross_scc_blocked,False,False,[],0,True,True
fur,feoA,cross_scc_blocked,False,False,[],0,True,True
fur,feoB,cross_scc_blocked,False,False,[],0,True,True
fur,feoC,cross_scc_blocked,False,False,[],0,True,True
fur,fepA,cross_scc_blocked,False,False,[],0,True,True
marA,acnA,cross_scc_blocked,False,False,[],0,True,True
marA,acrA,cross_scc_blocked,False,False,[],0,True,True
fur,fepB,cross_scc_blocked,False,False,[],0,True,True
fur,fepC,cross_scc_blocked,False,False,[],0,True,True
fur,fepD,cross_scc_blocked,False,False,[],0,True,True
fur,fepE,cross_scc_blocked,False,False,[],0,True,True
fur,fepG,cross_scc_blocked,False,False,[],0,True,True
fur,fes,cross_scc_blocked,False,False,[],0,True,True
fur,fhuA,cross_scc_blocked,False,False,[],0,True,True
fur,fhuB,cross_scc_blocked,False,False,[],0,True,True
fur,fhuC,cross_scc_blocked,False,False,[],0,True,True
fur,fhuD,cross_scc_blocked,False,False,[],0,True,True
fur,fhuF,cross_scc_blocked,False,False,[],0,True,True
fur,fiu,cross_scc_blocked,False,False,[],0,True,True
fur,flhC,same_scc_long,True,True,"[""gadE""]",1,True,True
fur,flhD,same_scc_long,True,True,"[""gadE""]",1,True,True
fur,fnr,same_scc_long,True,True,"[""crp"", ""oxyR"", ""rpoD"", ""soxS""]",4,False,True
fur,ftnA,cross_scc_blocked,False,False,[],0,True,True
fur,ftnB,cross_scc_blocked,False,False,[],0,True,True
fur,fumB,cross_scc_blocked,False,False,[],0,True,True
fur,fumC,cross_scc_blocked,False,False,[],0,True,True
fur,fur,self_loop,True,True,"[""crp"", ""oxyR"", ""rpoD"", ""soxS""]",4,False,False
marA,acrB,cross_scc_blocked,False,False,[],0,True,True
marA,acrZ,cross_scc_blocked,False,False,[],0,True,True
fur,garK,cross_scc_blocked,False,False,[],0,True,True
fur,garL,cross_scc_blocked,False,False,[],0,True,True
fur,garP,cross_scc_blocked,False,False,[],0,True,True
fur,garR,cross_scc_blocked,False,False,[],0,True,True
fur,gdhA,cross_scc_blocked,False,False,[],0,True,True
fur,glnD,cross_scc_blocked,False,False,[],0,True,True
fur,glnG,same_scc_long,True,True,"[""nac"", ""rpoE""]",2,True,True
fur,glnK,cross_scc_blocked,False,False,[],0,True,True
fur,glnL,cross_scc_blocked,False,False,[],0,True,True
fur,glpF,cross_scc_blocked,False,False,[],0,True,True
fur,glpK,cross_scc_blocked,False,False,[],0,True,True
fur,gltB,cross_scc_blocked,False,False,[],0,True,True
fur,gltD,cross_scc_blocked,False,False,[],0,True,True
fur,gltF,cross_scc_blocked,False,False,[],0,True,True
fur,gnd,cross_scc_blocked,False,False,[],0,True,True
fur,gpmA,cross_scc_blocked,False,False,[],0,True,True
fur,grcA,cross_scc_blocked,False,False,[],0,True,True
fur,gspC,cross_scc_blocked,False,False,[],0,True,True
fur,gspD,cross_scc_blocked,False,False,[],0,True,True
fur,gspE,cross_scc_blocked,False,False,[],0,True,True
marA,aldA,cross_scc_blocked,False,False,[],0,True,True
