,gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,basR,2.3186517999350817,0.28466886487745313,2.2699392038305244,0.6803085718565202,2.1982726357865543,3.485826104571773,1.7406477851013864,0.9922398037700554,1.4656359033526272,0.4267238347566721,0.8017952793712966,1.5389074482799106,1.0902222791664171,2.582097138312308,3.8008587189917082,1.5717639316516319,3.019363649536084,1.428271592986228,0.6010755715373479,1.2997055399835047,0.6353182373434683,1.0810057379645512,2.163054344205909,1.127943808298497,1.2956649291122464,0.535953464115321,1.4375070348668328,0.6734365892190968,1.9711815253567466,0.019755945323120222,0.5525636115787382,2.829438255581726,1.5554983095705137,1.5801495714422378,1.4338056209187904,0.1961492326433255,0.32153069764776454,0.9922398037700554,2.3384687923700445,1.4461365204487044,1.7981317976585283,3.15712248725289,1.839952058030339,2.4007513413420285,0.891019553743972,0.569135779009654,3.0577451615087874,0.2889574807515325,3.189364626592233,2.8714484675388277,3.1722878828064016,0.44793972978029617,2.7853117241393237,2.342903623850602,2.8494015238691976,0.6676806506683414,2.3178955546156104,0.2831106533958119,1.1570760201617696,1.5595526175783379,1.506302835369798,0.04734632004880528,0.9406602917643834,2.3116068687531026,3.036426937808782,0.310764188003265,1.7757394764724497,1.3725851253240928,0.8768361077441593,3.368538768800789,2.040014374061554,0.5527092540655051,3.353622250989084,1.591803432653052,0.7346768922436903,1.3508621534780718,0.25544918245918435,1.643918824236333,1.9653256230961722,1.215256641714945,0.28994711539476614,1.3719633159418545,1.6168384004461114,2.391266957009015,0.0,0.541598170641852,1.022598764760621,2.129107109394615,1.8237885154499327,0.4716484527159067,1.0869051608455935,1.9889296049852834,3.21986629192689,0.6208108350571178,1.350396482290489,2.462181874357026,1.4922227170298066,0.4967318934197211,2.547749824416068,1.9213023356695604
1,soxS,7.115690187500831,12.528966235900969,13.22935896136402,8.63598023726391,10.908706278572087,3.285011799357595,12.503985109041865,12.590777275258693,19.829352368159114,9.705308974728396,11.054414809153517,14.715176901146107,19.658442442774646,10.788538289095039,18.936723604226376,12.150282957775227,15.7039576318553,10.118692579077281,15.389665039060048,14.165124315846782,9.737971957789956,8.262993758424734,17.199973921325864,12.406144117050024,11.852617049817999,15.311247496107708,11.500717732642764,7.663424205682398,12.451217650095076,12.938798150365475,8.879315821828737,19.732574070737172,13.100463764754158,11.979855858742546,17.268749427272255,8.706620629242327,8.664305420803993,12.590777275258693,7.615749200574529,13.327968765642904,17.725241730922676,4.485581155312534,16.30207217299487,14.075406805876348,8.347912729066898,11.185455607899549,15.112920552504995,11.21616442646174,4.4226357477526,7.6067355558793555,18.159558331350084,11.759459276305101,4.285458470137208,19.545398542833613,17.384720071664493,7.795032046400349,12.274570316784182,13.84162081849881,13.637704364011704,1.8968229743501723,13.220548417700059,14.306954519426972,9.078025970291087,16.27433729596688,18.121259523620154,13.442737152383454,15.334951199891554,7.381863351266762,11.649567125939203,4.45478753960333,16.004954184326603,10.22231229915218,3.1814522125212243,16.70062162589562,13.294093908913341,13.072164933699137,7.4171109713109775,12.97421291753572,9.441174895049286,14.798255655179739,9.196760672010258,11.7963046736124,11.653931279904674,14.409870789719578,13.153979791549165,9.794220658336755,12.90528837569386,8.742578075139846,11.087023489130132,7.995534876542024,13.24418252907075,11.69435812518846,3.190542530621137,11.276069123521625,20.35066129414624,15.241557531705153,10.031585730064835,10.85674565853924,13.79964515104021,11.76881694006072
2,fabI,1.374905171136648,0.0,0.30832892159685804,1.0964083752038774,2.367745049792359,1.6868319709103556,0.9425988362272929,0.49659385535387596,0.1801858507018877,1.0357416608535097,1.9639251070219494,2.1051588412455224,0.2317316282134253,1.6488333236731685,0.6938178324995898,1.8088717073273035,0.5658013752645117,0.5203284880044192,0.0782185367484729,0.0999102720698152,0.0,0.9792652344240743,1.2208891808587468,0.8959598116612177,1.5382742708843296,0.30929096229201314,1.7164835162207677,0.3937400117812447,0.15213406102102844,0.14615931316189865,0.12741286652994613,0.5199398307403721,0.9794175284634614,0.8377885636306799,0.5404465806935241,0.9460820329931597,0.9480435922509632,0.49659385535387596,1.2145139551215782,1.4075062528452889,1.5328557685175448,3.2812920613392613,0.618883337822797,0.09472689417097552,0.7177492456352673,0.2453814925483148,0.6405372301832659,1.375087578336539,1.2480238983999739,0.7588840157067906,0.3840314583250762,0.12313105163664935,0.7596257996819005,0.2395506892106954,0.15392618908069336,0.40322599309469787,1.0955379099703615,0.19895426761525728,1.2755571246217192,1.3597588756125516,0.6329594438383537,0.7782148000294106,0.7837807062894351,0.6176165971670593,0.23352563906256213,0.42535554297941924,0.589900589062545,1.7564774173095041,2.1918704697289413,1.3368281769355506,0.5258006810525974,0.2113168812125498,1.2886469767497446,1.6456477266839937,0.41728108599788155,1.6542642959562297,1.6821869819011213,0.12355569071733838,0.4399574967284958,0.31920449089921676,0.05539495051261348,1.371550341737339,1.4480753983627932,0.0,0.29964965313366837,0.9142811082812006,1.991034316116439,1.5256771075075082,0.550376589887386,0.9222992043568196,1.4657401473849776,1.6629293823778486,1.4175252743734168,0.21645816588155772,0.09610108832736389,0.8650210380869978,0.3085199365528091,0.2403380393541957,0.143503962200698,1.669113184705357
3,aceA,8.469408864798131,4.689847714074313,8.42922019096678,4.693438065610518,7.886873367521785,6.4813117641918625,10.090666250661409,6.7223596644101535,5.1795917990227585,4.448892744313619,9.181570310888883,8.645325111480354,4.899791060869868,6.723041837606893,8.301997591593617,9.812593808945298,9.97552995713219,10.703098888329663,5.492369767363431,7.378254171299464,5.526370457740193,9.121928385782983,7.284416496697463,12.530649383901206,8.880006548682099,6.41907691641505,4.905189241364693,10.22777054418776,9.181892549886932,5.647173851980106,4.993347031261496,6.753563160022224,4.190755276307815,4.093234747834519,10.382252209617244,4.2887739941574,4.634901375963479,6.7223596644101535,4.399963345899183,10.491849613904229,8.204056630567177,6.734891633710208,7.574441840350711,9.533044881434822,5.094607607800074,3.3344180514005353,10.53503699969074,10.63699501328556,6.455822936367466,9.095800074254113,5.4717692515448375,5.289285278926057,8.09743650640701,4.99955235763003,6.44546900396012,6.251104776037895,5.769714161250267,3.602264687220896,10.450296246959516,8.071875798614665,7.5505898825233935,4.741575766069614,5.137095338734259,9.553505723825124,4.7635443404349385,5.319842080528037,9.647826093430751,4.705722165261287,5.379452169446144,6.379761129266373,9.175752202041854,3.6973191373862058,6.73489459631387,7.371554011559332,5.166409164389579,6.018007277002978,8.252301968271633,8.875705673194926,10.46631674014591,6.697735193887575,5.5353827913004645,9.748783484369651,11.583270732300068,9.073019707386388,5.471493854184515,4.902941023687012,5.139319567393977,6.651475934390013,7.5757081046913495,4.421192152508192,10.434147954986699,8.337207245283489,7.219565352434168,3.6103834915524637,5.1642681210511965,8.930526119953715,11.199439034154302,3.393618728805528,8.525367524940725,8.53958889541514
4,sdiA,5.277342462101187,5.510375692807338,5.444146216764001,6.8857436367159295,7.554130998648896,5.079983567757482,3.0578247423393434,3.8159283198438216,2.355959687484792,3.899147470834365,3.2031775036827197,8.347087705344784,2.5200901777457414,6.862747841354296,5.217860942669039,7.286174833852093,8.563120603755028,4.252323199024543,1.8544155977191823,2.2909194134803,4.532539977199686,4.367485541883939,5.5409799221622915,4.1029973014388705,6.622758330611826,2.992945983766752,4.356606957901613,4.331410113699331,2.48816786436044,3.53987079532466,2.9710652905795167,2.6459315333985938,3.8940556265133597,3.8662110211025738,7.497109159412281,4.096377930914909,4.338672599574607,3.8159283198438216,7.074554821738735,1.7927309827560733,8.240618611762848,6.183901017249301,5.227500764210466,4.493974451786384,6.573702346115759,3.5179595503486314,7.636383937016477,1.7438857290193228,4.909124499189495,6.858412284963788,5.796655348194351,5.935897727125961,5.582037151850346,1.5156452370554798,0.8252582254832377,5.1544997633916365,3.8115458742917583,5.68046664797985,1.794928726342371,5.779304606588584,4.040973679137938,2.6154514655186265,6.027110568305377,7.638435855134854,4.632863054561211,5.747340488021757,6.996339010899482,7.210967921722677,5.788244186742249,4.598338811832172,2.7066679787446666,3.3674442458363583,5.086911675784542,8.801893965833274,6.023055278798687,5.3808948462081165,4.227170964928165,3.146552220604984,7.524705699853592,1.4858123089065682,3.1542084825947074,4.139834965385896,3.0197244801935823,5.374247026985331,5.519920682793822,2.979719057873281,4.539374002218891,5.081924907183059,2.5646697276660135,3.1716802141126874,1.3464625455921955,7.735733285909581,6.221645948735057,3.8292163003785022,2.0478673565357637,7.3498630934795015,3.8909087296418012,3.5951389555642215,4.359034815035421,7.152131735629068
5,bolA,6.332623369524489,8.646377824133099,2.814383406725031,15.872094708921503,4.915980898108463,4.41208082463348,6.911531366264525,5.254550191880865,6.753769843412549,9.323364157577792,7.203015888103492,4.018585307563199,7.293100565186812,3.845243392026074,6.715289882174494,4.517452947761171,2.2568530308431423,5.490772593336775,8.341777503009803,4.536897573844926,8.213868923725125,5.80808244260144,7.402080273046449,5.19809232855296,7.857779092829277,9.283628518053606,7.248170069820604,4.169793099441476,5.57120396773392,5.367384615901263,12.866901922379624,7.276952633702216,4.735869677007434,3.7818449444142686,5.643215666427307,9.396418559286566,9.284902003078312,5.254550191880865,14.68880424540534,5.717266340669541,2.3736854435267767,9.45496223581443,6.9027023040548,0.703715985644137,15.507459425820878,11.697249468777336,1.7350592558361364,6.09462687567459,4.47629577416618,3.5283124439548588,5.7848096751831175,9.64788081158569,4.544127034535355,8.693924052468121,8.280247935370685,14.26280709305652,5.450838747507291,7.7812393474606685,5.285122895749298,13.861607856010574,4.777079785408576,3.283394758720226,15.273170821145296,6.452629692269634,6.002815314017558,8.339684603426909,5.907317466372994,15.3298104925383,5.432959098454043,4.846276353419075,1.6963620614704449,11.50271022047792,4.000170450224364,3.1264963942549384,8.289302331444983,7.846482060642163,7.890086487126825,1.601548239562933,4.528061090904371,4.164108155844524,12.500364000669949,6.031151462383376,6.070601353988822,2.1718330063018905,8.059368837250124,7.895826297329949,6.384548297304107,6.785521865228275,5.7436668235905035,9.481174516971517,5.776579160342116,4.773751740503796,4.165232613669666,12.692902094020518,7.041817799295892,1.510619719531949,5.317815156951557,11.318025058589573,0.7170665175311184,4.789642864554099
6,rob,1.4607964980707846,3.3192909614020256,1.2144321149713209,5.872987823041121,4.644118443384002,8.278483375694236,4.228187536735523,2.858889249561986,3.9903802577862253,4.313059210258516,7.192781800320484,5.1554643868424535,3.618817078421835,3.3918048385806228,3.063436152259589,4.75596639895149,5.072555495092096,2.7894591330176755,3.9965832714633165,1.9541437351034319,3.2266703345049357,1.6285397380377522,4.427856149912684,4.441230841531427,7.547864896294538,4.376882917035027,4.234075965559404,2.432160635639921,1.7152671228845833,5.301412475459768,6.498483349898521,1.923532982608813,4.1392076259153034,4.655426890695852,4.3428389510819505,5.53611019654181,5.723691910838664,2.858889249561986,8.491491866016027,8.815976887287613,5.184878452551407,8.584855992235378,4.216051670827511,1.3536252636353772,6.9957191257400035,6.621300666277996,5.257930880818651,7.542714106409505,8.61985829084207,9.975325859658177,2.683606488368514,4.78115283021384,9.522957555019397,3.697973346141948,1.6357486679788409,6.295656349990293,4.86844578675119,3.8052088301868228,8.946743519197405,8.951760230638556,2.247985274208497,4.042650015790434,7.459894958404152,5.030720287137478,2.733541791045429,2.661714741238176,5.0387202199722285,7.190183176241483,5.3536629814736525,8.24494880397312,2.2508937597493652,7.294596239864653,8.777170229252691,5.490048179770399,2.534511215781081,2.367904934648609,8.46087743931969,3.415965364702367,8.423278954254839,1.681880300261505,6.059381744654067,8.868164541939489,4.86966036530509,0.7498747581026037,2.8171546109092644,4.378606631734756,4.129690193006033,1.06771399702034,1.9249950880855415,4.6650850922218075,7.851791867469383,5.035688806321294,9.139512784290918,6.754266003394292,4.0379845941331665,5.470201793713673,3.3892734238691906,6.864189504443206,1.5106034325236708,5.0816347402561215
7,c0293,0.1800323406386469,2.125995263339055,0.3446685571163214,2.525279097667423,2.500869811035714,1.9750567655846807,2.3784111546516398,0.42737348287471977,1.4141458375748788,2.309972770694513,1.6102211845352696,2.7198516207937304,1.554916829604149,1.5446625336618753,1.0726095909836808,2.6784320531374024,2.159300252736422,0.05439257898256221,1.1598548041478192,0.6790888106725652,1.923644954871625,0.0,2.3721445437430733,2.0035650020452875,2.450385684641779,1.9805560915708642,1.3961995729029573,0.1525160869173209,0.9179777813315704,0.0848549604487275,4.348169988835688,1.4055796564241463,0.20557549588664736,0.36337305320934055,2.7649915322510226,2.346575573603567,2.4667815906506187,0.42737348287471977,1.1975294597307322,2.4128666891697885,1.9161792693459416,1.9214917374236986,2.174501079085813,0.2760871057146468,2.666268949687163,3.841970139562402,1.8157900193653551,2.336499402935916,1.455344500055855,2.4634906558717105,1.6035746437989307,4.614135241888403,2.2941570682010406,1.2086033421949018,0.5417521802855065,2.2971937838694054,0.21054935860245724,2.3278857181348798,2.791864681799495,1.3324722940362308,0.2644747162389625,0.08952621521758465,2.6209583227914863,2.4101934003618477,1.3540675816785397,2.8598800873642682,2.5712661050710426,1.6663536262714513,1.0697295907537239,1.4312373941341492,0.4545189921629569,4.265218069005857,1.7168587977136314,2.2748586445212555,2.8010594233915334,2.6185246689932384,2.64271873478413,0.7134105262321955,3.1734320207031748,0.7418391385227019,4.211925331782859,1.4631646557613593,1.9673223936354576,0.027672342383516776,2.479668594051659,1.9891857108956779,1.5613991917034356,0.3018619820006844,0.9449795907213635,2.136106735027649,2.717979045537713,2.1966725980131763,2.5003355615885203,4.018990678348354,1.4667776478559973,2.032788620884214,0.20953796160854693,3.8846489017123527,0.49096110682406496,2.718796162832482
8,ydeO,12.212438302501123,18.141224883816047,13.813950249999134,17.385003047525732,11.810470218787257,8.981078474982683,15.34271472571442,12.129144361101847,13.340520541914037,16.19031372661038,16.191040070206867,11.050938843654926,13.863949540708443,11.875645267270944,8.480969023950701,10.642553018129794,9.066553968470332,12.106278603597106,19.339977006051527,14.770980205995812,18.971900573770967,12.84840757783278,9.69494254540127,12.544615835683306,12.88769873060697,17.97978908297393,11.980227150165256,13.565848770668007,14.905063464939815,12.590752118455057,19.096589152845755,7.477571373151695,10.881255974410136,10.574505553473362,10.559520642144696,17.067645450112167,16.939599670658406,12.129144361101847,14.92144961272204,14.052841105829135,12.904787623853206,7.093417235261755,10.633181994338914,11.167744873881286,17.411712978415146,25.16705896906903,10.478866174270662,14.916140409400427,9.95353769944132,10.132912684616834,7.838996903722086,20.194508162242247,9.950741745054225,14.034338582952362,9.443946363203308,15.36176981997862,12.87304257677298,19.83809869079889,13.925817460904561,10.670364422807003,12.297211991822477,11.563830887662004,17.617801076083357,10.649863280498172,7.4864854092566935,19.786666759619475,10.142195693632914,15.463009308547996,8.90978335612297,10.285849177594063,13.278792282307354,21.115793844045097,8.976135961006179,12.513777378790312,19.173519262399633,13.191383577070125,14.764773363399874,11.985672033426908,13.068142640213235,13.55479113649182,25.90655392966931,16.768641468904377,14.233564755750171,11.605243441616373,20.139068181112005,16.30592346781943,10.796923132004462,12.240817618781005,14.283732649080987,18.434082653605575,14.736000531019549,10.454923094337502,7.88913461549861,23.655140070256742,13.740143824400334,14.76491053888396,11.618303037931762,25.452069966602732,10.943760194592018,10.608795781670928
9,fadR,7.029480300930877,5.389651408093277,3.998516001611501,6.923071323076291,3.240371571650422,8.76933334462112,6.093304303188004,4.726510574403902,7.598771646446059,6.975558149953076,5.239644888071836,1.373470953681138,8.050377400131964,2.1465904445328103,3.512214114117164,2.8877785165388135,1.781597027383371,6.843812772103882,6.63132113014142,7.075699655105557,4.2750812488344465,6.77376340497235,3.114845339956496,6.465723942507907,6.346928295871512,6.807218726760025,4.351312215899249,6.724858156022863,6.33547791630907,3.4059532586408734,6.2206697114071465,3.5268179730925957,1.2196779818777213,1.005249828335065,1.7424599674875498,7.4399826445358626,6.893997146990348,4.726510574403902,7.666005634723663,3.809003882180484,2.884320878684883,7.234927069951808,3.6478517166963957,7.732977325991319,6.2796428355294545,6.223522044204368,1.8543197724227731,3.0194962372640495,8.39151431256726,9.823785895839979,3.565893002717532,6.827863240293237,9.017206106829788,4.4708464258103255,5.220157345599952,5.981441826627593,1.471671065992591,5.185544257491285,3.5481711417061805,8.061149028258415,4.2797943108059,2.9131378096951663,5.820810819187331,1.160018139403993,3.163692282452711,5.797914784787182,1.1174510867434841,7.2140379834651664,3.3930420351181714,8.894819094260786,9.783536555259055,6.002181249285168,8.258112992391602,3.1246783588623157,6.073725414114782,5.352655642936192,6.216655663576817,7.307596073694533,9.923807547314256,7.322056830126198,5.586653778240272,5.377224033859243,6.114990686251932,5.406027283741553,5.1934737276821155,6.910015681243525,3.7791226137504914,7.331291731652119,6.790154860007426,6.332903602639786,4.553624542338115,2.4352043901231344,8.984113043350533,6.2234594457015815,6.92845725991631,3.075331824869615,8.251654043348227,6.421815611591746,8.135607016987397,3.2598769335289206
